division,familyName,speciesName,folderNo,JL].,description,Hetherset,Aug.,1767
Dicotyledones,CARYOPHYLLACEAE,Cucubalus baccifer L.,3.0,,"Sheet 1. Cucubalus baccifer [JL]. i. ""Cucubalus bacciferus calyicibus campanulatis, petalis distantibus, pericarpis coloratis, ramis divaricatis. Lin: Syst. Nat. Cucubalus Plinii. R. Syn: 267."" ii. ""Berry-bearing Chickweed. July & Aug. This plant was found growing spontaneously in the Isle of Man, by Dr. Richardson"" [JL]. [On loose label in pencil:] ""I. of Dogs"" [Riddelsdell].",,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus armeria L.,1.0,,Dianthus armeria [TA],,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus caryophyllus L.,1.0,,"Dianthus caryophyllus [TA]. i. ""Dianthus caryophyllus Lin: Ray Syn: p. 336. no. 3. on Rochester Castle Walls & c."" [JL]. ii. ""& single Clove mentioned in Ray on Rochester Walls"" [?]; ""?? is this not from a Garden"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus deltoides L.,2.0,,"Folder 1. Dianthus glaucus? [TA]. i. ""Dianthus glaucus pro certo. Kew. respondet. fig: Dillen:"" [JL]. ii. ""This Aiton [William Aiton] says is the Dianthus glaucus. White flowers with a purple Circle. Kew. compare it with Dianth: deltoides"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus deltoides L.,2.0,,"Folder 2. Dianthus deltoides [TA]. ""Dianthus Deltoides. Salt Hill"" [?].",,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus gratianopolitanus Vill.,2.0,,"Folder 1. Dianthus arenarius Hud. [TA]. i. ""Cheddar brought into a Garden"" [JL]. ii. ""Dianthus arenarius the true. Sent by Mr. Banks to Bulstrode from Cheddar."" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus gratianopolitanus Vill.,2.0,,"Folder 2. Dianthus virginicus [TA]; Dianthus arenarius Huds. [G]. i. ""Dianth: arenar: Bulstrode. Q: an non idem Mr. Banks's"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria ciliolata Meld.,2.0,,"Folder 1. Herniaria glabra [TA]. i. Herniaria glabra. Cites Lin: Sp. Pl: Herniaria; Ray's Syn: 160. ii. ""Smooth Rupture-wort. This specimen was gathered from the Lizard Point in Cornwall & communicated by Mr. Hudson"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria ciliolata Meld.,2.0,,Folder 2. Herniaria glabra [G].,,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria hirsuta L.,2.0,,"Folder 1. Herniaria hirsuta [TA]. i. ""Hern: hirsuta according to Yalden"" [JL]. ii. ""Herniaria hirsuta. Gordon's Garden [?]; D. o. P: [possibly the Duchess of Portland] [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria hirsuta L.,2.0,,Folder 2. Herniaria glabra [G].,,,
Dicotyledones,CARYOPHYLLACEAE,Illecebrum verticillatum L.,1.0,,"Illecebrum verticillatum [TA]. i. ""Illecebrum verticillatum floribus verticillatis nudis, caulibus procumbentibus. Lin: Sp: Pl: Corrigiola. Ray's Syn: 160. Verticillate Knot Grass. July. In Marshes & moist Places about Pensans in Cornwall"" [JL]. ii. ""The verticillate sample I rec'd from Mr. Banks collected at Pensans, wch I take to be the true Illecib: verticill: but the other seems to be rather Illecib: cymosum, & perhaps the Polygonum maritimum Ray: 161 near Weston. This from Mr. Hudson"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Kohlruschia prolifera (L.) Kunth,1.0,,"Folder 1. Dianthus Prolifer [TA]. i. ""Dianthus prolifer"" [JL]. ii. ""Dianthus prolifer of Eaton. Q: July Aug. Kew. In Selsey Island Sussex"" [JL].Sheet 1. Dianthus prolifer [G].",,,
Dicotyledones,CARYOPHYLLACEAE,"Lychnis coronaria (L.) Desr., Flora Europaea 1: 156 (1964)",1.0,,"Agrostema coronaria [TA]. i. “? not English” [TA]. ii. “Tenbigh [Tenby in Dyfed (Pembrokeshire)]” [JL]. [From southeastern Europe, cultivated, locally naturalized elsewhere.]",,,
Dicotyledones,CARYOPHYLLACEAE,Lychnis viscaria L.,1.0,,Lychnis Viscaria [TA]. i. “Lychnis Viscaria Lin: On the Rocks in Edinburgh Park. Scotland” [JL].,,,
Dicotyledones,CARYOPHYLLACEAE,Minuartia hybrida (Vill.) Schischkin,1.0,,"Arenaria tenuifolia [TA], Flora Scotica ed. 1, 1102 (1777). i. “Arenaria tenuifolia 10- and: 3-g” [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,"Minuartia sedoides (L.) Hiern, Flora Europaea 1: 132 (1964).",1.0,,"Cherleria Sedoides [TA], Flora Scotica ed. 1, 232, 1124, 1139 (1777). i. “Cherleria Sedoides Lin: From the Isle of Rum, one of the Hebrides” [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Minuartia verna (L.) Hiern,2.0,,"Folder 1. Arenaria verna [TA], Flora Scotica ed. 1, 231, 1140 (1777). i. Cites Lin: Syst: Nat: in Mantissa, page 72; Ger: Provinc: Tab: 15. f: 1.; R: Syn. 350. ii. “Mountain vernal Chickweed. May. Upon the Mountains in Scotland, & the North of England. This Plant is call’d by Hudson Arenaria saxatilis, but I think his Characters of that Species will not agree with the Samples here exhibited, particularly as the Calyces are not obtuse. They are striated & acuminated, & the Figure of Gerard above-cited agrees perfectly well with these Samples” [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Minuartia verna (L.) Hiern,2.0,,"Folder 2. Arenaria laricifolia [TA and G]. i. “Scotland, Yalden” [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Moehringia trinervia (L.) Clairv.,1.0,,Arenaria trinervia [TA].,,,
Dicotyledones,CARYOPHYLLACEAE,Polycarpon tetraphyllum (L.) L.Arenaria laricifolia. Iver Heath,,folderNo,"Spergula [TA]; S. laricina Huds. [G]. i. ""Pool Heath. Dorsetshire"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Polycarpon tetraphyllum (L.) L.Arenaria laricifolia. Iver Heath,,folderNo,"Folder 3. Spergula [TA]; S. laricina Huds. [G]. i. ""Pool Heath. Dorsetshire"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Polycarpon tetraphyllum (L.) L.Arenaria laricifolia. Iver Heath,,folderNo,Folder 4. Spergula laricina Huds. and S. saginoides Curtis [G].,,,
Dicotyledones,CARYOPHYLLACEAE,Saponaria officinalis L.,1.0,,Saponaria officinalis [G]. i.,B].,,
Dicotyledones,CARYOPHYLLACEAE,Scleranthus annuus L.,1.0,,Scleranthus annuus? [TA].,,,
Dicotyledones,CARYOPHYLLACEAE,Scleranthus perennis L.,2.0,,Folder 1. Scleranthus perennis [TA]. i. Cites Ray's Syn. 160. ii.,,"I gathered these Samples in the Corn Fields at Elden in Suffolk, on the South Side of the Village. Aug. 1768",
Dicotyledones,CARYOPHYLLACEAE,Scleranthus perennis L.,2.0,,"Folder 2. Scleranthus perennis [G]. i. ""Scleranth. Perennis. certo. Kew"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Scleranthus perennis L.,2.0,,"Sheet 1. Scleranthus perennis [?]. i. ""Property of S.W. Museum"" [?]. ii. ""G.S. Gibson Esqr."" [?]. iii. ""Herb. Earl of Bute"" [?]. [Not one of the usual cut-up sheets from Saffron Walden Museum, and probably does not belong in Herb. Lightfoot.]",,,
Dicotyledones,CARYOPHYLLACEAE,Silene acaulis (L.) Jacq.,2.0,,Folder 1. Silene acaulis [G]. i. Cites Linn. Syst. Nat.; Ray's Syn. 341. ii.,,,JL].
Dicotyledones,CARYOPHYLLACEAE,Silene acaulis (L.) Jacq.,2.0,,"Folder 2. Silene acaulis [TA]. i. ""This from Ben-Lomond"" [?]. ii.",,,
Dicotyledones,CARYOPHYLLACEAE,Silene noctiflora L.,2.0,,"Folder 1. Silene noctiflora [G]. i. ""Silene noctiflora. 10- and: 3-g:"" [JL]. ii. ""Silene noctiflora cream colour'd flowers"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Silene noctiflora L.,2.0,,"Folder 2. Silene noctiflora [TA]. i. ""10- and: 3-g."" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Silene nutans L.,2.0,,"Folder 1. Silene nutans [G]. i. ""Silene nutans. 10- and: 3-g:"" [JL]. ii. ""Silene nutans cream colour'd flowers"" [JL].",,,
Dicotyledones,CARYOPHYLLACEAE,Silene nutans L.,2.0,,"Folder 2. Silene nutans [TA]. i. ""10- and: 3-g."" [JL].",,,
